algo,algo_label,num_seeds,completed_seeds,last20_eval_return_mean,last20_eval_return_std,last20_tail_mean_target_distance_mean,last20_tail_mean_target_distance_std,last20_tail_mean_target_distance_mean_display,last20_tail_mean_target_distance_std_display,last20_mean_tracking_error_mean,last20_mean_tracking_error_std,last20_mean_tracking_error_mean_display,last20_mean_tracking_error_std_display,last20_mean_target_lost_mean,last20_mean_target_lost_std,last20_mean_action_saturation_rate_mean,last20_mean_action_saturation_rate_std,last20_mean_control_cost_mean,last20_mean_control_cost_std,last20_mean_tracking_reward_mean,last20_mean_tracking_reward_std,last20_mean_semantic_reward_mean,last20_mean_semantic_reward_std,latest_eval_return_mean,latest_eval_return_std,latest_tail_mean_target_distance_mean,latest_tail_mean_target_distance_std,latest_tail_mean_target_distance_mean_display,latest_tail_mean_target_distance_std_display,latest_mean_tracking_error_mean,latest_mean_tracking_error_std,latest_mean_tracking_error_mean_display,latest_mean_tracking_error_std_display,latest_mean_target_lost_mean,latest_mean_target_lost_std
stg_mappo,STG-MAPPO,3,"0,1,2",254.80932677919668,11.658577524114312,0.014351146564839013,0.003180912304118058,0.014351146564839013,0.003180912304118058,0.012334719257806255,0.0013642853199889457,0.012334719257806255,0.0013642853199889457,0.0,0.0,0.0,0.0,0.014346516464916774,0.00602263975702363,0.3595927176574296,0.0013664396653820282,0.7849333474472123,0.2458271181632779,259.26362437506515,5.216904821427123,0.013153262539168395,0.0024818678929138106,0.013153262539168395,0.0024818678929138106,0.010959210723745394,0.0010727326294183242,0.010959210723745394,0.0010727326294183242,0.0,0.0
mappo,MAPPO,3,"0,1,2",233.06053058151466,17.00482921963016,0.13558740393890972,0.10711775394527583,0.13558740393890972,0.10711775394527583,0.13345950563785794,0.035158119330796274,0.13345950563785794,0.035158119330796274,0.01769,0.021949644074563034,0.0,0.0,0.02931078124204836,0.003822645469160522,0.38752195132039535,0.02295313919427437,0.32577447385420355,0.1284611579713782,246.78404415647188,7.7468859326002315,0.09400661875610487,0.050496418002937644,0.09400661875610487,0.050496418002937644,0.10192116340623121,0.016141079493068894,0.10192116340623121,0.016141079493068894,0.0,0.0
maddpg,MADDPG,3,"0,1,2",130.89247629004026,91.73728647366772,0.4017178839095042,0.2413676310671435,0.4017178839095042,0.2413676310671435,0.3488649107992199,0.20746505386349612,0.3488649107992199,0.20746505386349612,0.12990416666666668,0.16224317293674745,0.0,0.0,0.02845081995482035,0.001128393682260585,0.2618119459480712,0.11131942849612413,0.08199515740337,0.09092313839388903,141.8832016804566,133.7582887033618,0.43407744954756833,0.44804627722319507,0.43407744954756833,0.44804627722319507,0.32459334634455844,0.2872862099988225,0.32459334634455844,0.2872862099988225,0.14116666666666666,0.2445078390018065
matd3,MATD3,3,"0,1,2",44.694907191460324,49.051362846066375,0.6466627463064273,0.10758089900458735,0.6466627463064273,0.10758089900458735,0.5521095735281832,0.12991405905489217,0.5521095735281832,0.12991405905489217,0.36668416666666664,0.1768544176776009,0.0,0.0,0.026910460511929215,0.004297118047449712,0.1606240288120626,0.052795267112414716,0.003128077069738807,0.017428271777851556,51.725510314417384,92.64390204809662,0.7085646370274032,0.29790165849280503,0.7085646370274032,0.29790165849280503,0.5388412616675569,0.23374721742867488,0.5388412616675569,0.23374721742867488,0.3363333333333333,0.29256851049512034
happo,HAPPO,3,"0,1,2",-25.423890983597857,62.54100727484322,1.0200977728714768,0.2762406827941575,1.0200977728714768,0.2762406827941575,0.8584492234467564,0.2490071422535441,0.8584492234467564,0.2490071422535441,0.6396933333333333,0.222662701430512,0.10284638888888877,0.09001620311834183,0.12440601859157341,0.06235185924620449,0.0903677893558159,0.07156390609798141,-0.03573095606913723,0.021238518334536133,-16.660137712955475,81.50441137390295,0.9245606677245465,0.30974507842909144,0.9245606677245465,0.30974507842909144,0.7671833639338453,0.29822284598744736,0.7671833639338453,0.29822284598744736,0.5995,0.30204842327017695
madqn,MADQN,3,"0,1,2",-13.60773075121678,55.277331784752164,0.9403949448069798,0.19408667013863154,0.9403949448069798,0.19408667013863154,0.7466665913564116,0.1849137393259181,0.7466665913564116,0.1849137393259181,0.5644216666666666,0.22956243226698325,0.0,0.0,0.015786759003513687,0.00078465965045822,0.08426505155719168,0.06612062706462955,-0.0374165923992461,0.013212913775326721,-6.432545330375433,46.771018041138475,0.8829903999394239,0.26409661262414197,0.8829903999394239,0.26409661262414197,0.7519029337350406,0.16714887443586313,0.7519029337350406,0.16714887443586313,0.5205000000000001,0.21007677168121183
masac,MASAC,3,"0,1,2",-65.52073810646189,7.393031152387645,1.2389729303396644,0.07746674161789922,1.2389729303396644,0.07746674161789922,0.9987281166125402,0.05523635393950727,0.9987281166125402,0.05523635393950727,0.7785441666666667,0.03737750011147522,0.0,0.0,0.014824093946307371,0.0011655096739217699,0.023205755241850413,0.008065064204368554,-0.051935901733200174,0.0015304260255193244,-63.415129326555565,24.60731152975572,1.1944432711287318,0.21274231874289906,1.1944432711287318,0.21274231874289906,0.9939367287892823,0.1281075684793764,0.9939367287892823,0.1281075684793764,0.7971666666666667,0.11534766288630789
