algo,algo_label,num_seeds,completed_seeds,last20_eval_return_mean,last20_eval_return_std,last20_tail_mean_target_distance_mean,last20_tail_mean_target_distance_std,last20_tail_mean_target_distance_mean_display,last20_tail_mean_target_distance_std_display,last20_mean_tracking_error_mean,last20_mean_tracking_error_std,last20_mean_tracking_error_mean_display,last20_mean_tracking_error_std_display,last20_mean_target_lost_mean,last20_mean_target_lost_std,last20_mean_action_saturation_rate_mean,last20_mean_action_saturation_rate_std,last20_mean_control_cost_mean,last20_mean_control_cost_std,last20_mean_tracking_reward_mean,last20_mean_tracking_reward_std,last20_mean_semantic_reward_mean,last20_mean_semantic_reward_std,latest_eval_return_mean,latest_eval_return_std,latest_tail_mean_target_distance_mean,latest_tail_mean_target_distance_std,latest_tail_mean_target_distance_mean_display,latest_tail_mean_target_distance_std_display,latest_mean_tracking_error_mean,latest_mean_tracking_error_std,latest_mean_tracking_error_mean_display,latest_mean_tracking_error_std_display,latest_mean_target_lost_mean,latest_mean_target_lost_std
stg_mappo,STG-MAPPO,3,"0,1,2",255.28119156618914,1.9035539034214615,0.012084037552635582,0.0008566196798268635,0.012084037552635582,0.0008566196798268635,0.02170068094559606,0.003968676880415881,0.02170068094559606,0.003968676880415881,0.0014166666666666666,0.0014215601757693313,0.0,0.0,0.017558613161734838,0.0032889429847269155,0.36031531722176996,0.0010269370605305729,0.8233558064877103,0.04188740362563696,260.57546917597455,1.567725879323001,0.012723096191428586,0.0009325201523667124,0.012723096191428586,0.0009325201523667124,0.019495722257405736,0.0025707149857930184,0.019495722257405736,0.0025707149857930184,0.0006666666666666666,0.0007637626158259734
mappo,MAPPO,3,"0,1,2",109.45883252334431,67.35905548101505,0.45249885538806933,0.24924920410250334,0.45249885538806933,0.24924920410250334,0.410815413147902,0.16068619079050223,0.410815413147902,0.16068619079050223,0.19787333333333335,0.1468217295168986,0.0,0.0,0.026235294594042835,0.002013587220697117,0.2458909094868943,0.07960380541395316,0.07186777497683884,0.06027519591205312,93.4690588125959,105.8694610515811,0.5400549100580297,0.31863907839674893,0.5400549100580297,0.31863907839674893,0.42934378690295794,0.22031382881967163,0.42934378690295794,0.22031382881967163,0.22883333333333333,0.238251093037017
maddpg,MADDPG,3,"0,1,2",126.14159363143864,58.74359571531699,0.3739717355333007,0.14959226387840183,0.3739717355333007,0.14959226387840183,0.3615921449968369,0.13181294749570086,0.3615921449968369,0.13181294749570086,0.12395833333333334,0.0990971787670231,0.0,0.0,0.029126967970261448,0.00048446516507514903,0.2625286850251239,0.07213956530687828,0.09599078616091754,0.07446573718171713,129.3574090761443,73.55605626779214,0.3752563644473155,0.13526951101968637,0.3752563644473155,0.13526951101968637,0.3453211480763521,0.15920731386505735,0.3453211480763521,0.15920731386505735,0.05716666666666667,0.09858287545681216
matd3,MATD3,3,"0,1,2",13.364497367358323,61.51392102071364,0.6951761011141476,0.2072970056882161,0.6951761011141476,0.2072970056882161,0.6337340857767666,0.19394952012970304,0.6337340857767666,0.19394952012970304,0.4621558333333333,0.2700520364246183,0.0,0.0,0.027432478393006016,0.004355642909031283,0.12850801530941594,0.07237801282958438,0.004545137100896536,0.01755392072515683,3.5745016428021095,87.73790603258749,0.7427215098661097,0.3350450603572048,0.7427215098661097,0.3350450603572048,0.6551879400936934,0.2833897014093378,0.6551879400936934,0.2833897014093378,0.4746666666666666,0.4033963105103136
happo,HAPPO,3,"0,1,2",5.449435070879116,24.46905895565187,0.8535594376006873,0.11742354753184756,0.8535594376006873,0.11742354753184756,0.7114871115698443,0.09344529968651052,0.7114871115698443,0.09344529968651052,0.44742499999999996,0.08127873584154711,0.01143833333333333,0.010511616325655048,0.06716965321172329,0.023627743709211304,0.12267961167303125,0.0242881284932432,-0.012338232280761608,0.011611949512471595,47.61469266594698,64.03968850245126,0.739445876730496,0.4229093875437861,0.739445876730496,0.4229093875437861,0.6020672743131221,0.21635062576926664,0.6020672743131221,0.21635062576926664,0.3135,0.20094091171287146
madqn,MADQN,3,"0,1,2",-27.215915423009623,22.48881724723932,0.9252855564816004,0.021849725237695117,0.9252855564816004,0.021849725237695117,0.7695380179654329,0.051809906435187604,0.7695380179654329,0.051809906435187604,0.5962149999999999,0.10002988940811645,0.0,0.0,0.015720117598854822,0.001965156593949092,0.07466809069450336,0.02628987650478922,-0.020794620666543362,0.00639631608598173,-15.603583128812412,34.796276233650325,0.813998294668589,0.283184202680675,0.813998294668589,0.283184202680675,0.7388677205899495,0.13437750487934824,0.7388677205899495,0.13437750487934824,0.49399999999999994,0.1293338702737995
masac,MASAC,3,"0,1,2",-70.5702464066036,3.2139479864779243,1.2152246366815345,0.07792111554482434,1.2152246366815345,0.07792111554482434,1.0288598799063664,0.03507786737614955,1.0288598799063664,0.03507786737614955,0.8012258333333334,0.016958035767250114,0.0,0.0,0.015281181706569032,0.0006740221308984511,0.02349448052969302,0.006566948684911755,-0.036782946728044545,0.006216368162525377,-44.02326982914625,54.369790862721395,1.1801578171859604,0.2376222573224321,1.1801578171859604,0.2376222573224321,0.874219521921393,0.2558920073348929,0.874219521921393,0.2558920073348929,0.6781666666666667,0.2600934127065377
