algo,algo_label,seed,env_step,train_iter,eval_points,latest_eval_return,latest_tail_mean_target_distance,latest_tail_mean_target_distance_display,latest_mean_tracking_error,latest_mean_tracking_error_display,latest_mean_target_lost,latest_mean_action_saturation_rate,last20_mean_eval_return,last20_mean_tail_mean_target_distance,last20_mean_tail_mean_target_distance_display,last20_mean_mean_tracking_error,last20_mean_mean_tracking_error_display,last20_mean_mean_target_lost,last20_mean_mean_action_saturation_rate,last20_mean_mean_control_cost,last20_mean_mean_tracking_reward,last20_mean_mean_semantic_reward,auc_eval_return,auc_tracking_error,steps_to_tracking_error_0p05,steps_to_lost_rate_0p05,run_dir,finish_time
stg_mappo,STG-MAPPO,0,2000000,20000,500,259.36278750002384,0.012377311315157138,0.012377311315157138,0.022146703362863607,0.022146703362863607,0.0015,0.0,255.36094381786882,0.012371728486728666,0.012371728486728666,0.02628149046482888,0.02628149046482888,0.002999999999999999,0.0,0.01661695942469365,0.3598825284095753,0.8464869310299932,213.23755941969156,0.06261236918243988,224000.0,164000.0,C:/code/MARL代码包/OpenMARL_codex/artifacts/auv6dof_tmc_2e6/hard_4auv/auv6dof/stg_mappo/seed_0/tmc_hard_2e6_main-hard,Sun May 10 16:39:24 2026
stg_mappo,STG-MAPPO,1,2000000,20000,500,262.34577599167824,0.012012858713257264,0.012012858713257264,0.01701359869370927,0.01701359869370927,0.0005,0.0,253.3390149522573,0.011120605164819093,0.011120605164819093,0.01952223284065905,0.01952223284065905,0.001,0.0,0.021215677958662797,0.3595756153412305,0.775003454596461,219.2222243977897,0.044080607219327175,172000.0,92000.0,C:/code/MARL代码包/OpenMARL_codex/artifacts/auv6dof_tmc_2e6/hard_4auv/auv6dof/stg_mappo/seed_1/tmc_hard_2e6_main-hard,Sun May 10 23:03:55 2026
stg_mappo,STG-MAPPO,2,2000000,20000,500,260.0178440362215,0.013779118545871357,0.013779118545871357,0.019326864715644328,0.019326864715644328,0.0,0.0,257.1436159284413,0.012759779006358989,0.012759779006358989,0.019298319531300248,0.019298319531300248,0.00025000000000000006,0.0,0.014843202101848064,0.36148780791450397,0.8485770338366767,214.26329646900112,0.0489127770780917,192000.0,120000.0,C:/code/MARL代码包/OpenMARL_codex/artifacts/auv6dof_tmc_2e6/hard_4auv/auv6dof/stg_mappo/seed_2/tmc_hard_2e6_main-hard,Mon May 11 04:56:52 2026
mappo,MAPPO,0,2000000,20000,500,82.28545106202364,0.8363551427421675,0.8363551427421675,0.47026371893691365,0.47026371893691365,0.211,0.0,58.888099685723425,0.7037503966529945,0.7037503966529945,0.5389936146800287,0.5389936146800287,0.300905,0.0,0.024079670917094148,0.18687555166925976,0.020758857403177008,21.873009490326396,0.6735754246705614,nan,nan,C:/code/MARL代码包/OpenMARL_codex/artifacts/auv6dof_tmc_2e6/hard_4auv/auv6dof/mappo/seed_0/tmc_hard_2e6_main-hard,Sun May 10 15:37:19 2026
mappo,MAPPO,1,2000000,20000,500,-6.364646424539387,0.5808108321716542,0.5808108321716542,0.6263288772587012,0.6263288772587012,0.4755,0.0,83.56614612169331,0.44844472209232705,0.44844472209232705,0.46290640275774514,0.46290640275774514,0.26295500000000005,0.0,0.028067757622066633,0.21436862450398916,0.0565075890680004,5.612979028080122,0.7565565377166965,nan,nan,C:/code/MARL代码包/OpenMARL_codex/artifacts/auv6dof_tmc_2e6/hard_4auv/auv6dof/mappo/seed_1/tmc_hard_2e6_main-hard,Sun May 10 21:00:02 2026
mappo,MAPPO,2,2000000,20000,500,204.48637180030346,0.2029987552602675,0.2029987552602675,0.19143876451325884,0.19143876451325884,0.0,0.0,185.9222517626162,0.20530144741888642,0.20530144741888642,0.23054622200593208,0.23054622200593208,0.029760000000000005,0.0,0.026558455242967727,0.33642855228743396,0.13833687845933912,99.85492609673818,0.4441508607945201,nan,1304000.0,C:/code/MARL代码包/OpenMARL_codex/artifacts/auv6dof_tmc_2e6/hard_4auv/auv6dof/mappo/seed_2/tmc_hard_2e6_main-hard,Mon May 11 01:47:42 2026
maddpg,MADDPG,0,2002000,24900,996,53.66349697485566,0.5106676227655551,0.5106676227655551,0.5123528021916401,0.5123528021916401,0.171,0.0,73.68977729042817,0.49839405291759414,0.49839405291759414,0.4863395549332941,0.4863395549332941,0.2259525,0.0,0.029169013185284958,0.1994466045607527,0.04998124670220237,59.21646888720162,0.5058412371277928,nan,960799.1967871486,C:/code/MARL代码包/OpenMARL_codex/artifacts/auv6dof_tmc_2e6/hard_4auv/auv6dof/maddpg/seed_0/tmc_hard_2e6_main-hard,Sun May 10 18:05:24 2026
maddpg,MADDPG,1,2002000,24900,996,133.837957367301,0.3749724228375913,0.3749724228375913,0.3283056118508538,0.3283056118508538,0.0005,0.0,115.11947823744732,0.4155255064407399,0.4155255064407399,0.37473807928300035,0.37473807928300035,0.117885,0.0,0.029589040225164433,0.24695703879304276,0.056086989517210535,59.708653930347,0.5211964106373688,nan,253265.06024096385,C:/code/MARL代码包/OpenMARL_codex/artifacts/auv6dof_tmc_2e6/hard_4auv/auv6dof/maddpg/seed_1/tmc_hard_2e6_main-hard,Mon May 11 03:25:41 2026
maddpg,MADDPG,2,2002000,24900,996,200.57077288627625,0.24012904773880034,0.24012904773880034,0.19530503018656234,0.19530503018656234,0.0,0.0,189.6155253664404,0.2079956472415681,0.2079956472415681,0.22369880077421622,0.22369880077421622,0.0280375,0.0,0.028622850500334963,0.34118241172157626,0.18190412226333966,142.10681565195216,0.33659534466888064,nan,241204.8192771084,C:/code/MARL代码包/OpenMARL_codex/artifacts/auv6dof_tmc_2e6/hard_4auv/auv6dof/maddpg/seed_2/tmc_hard_2e6_main-hard,Mon May 11 10:04:26 2026
matd3,MATD3,0,2002000,24900,996,23.06699185213074,0.5629645334304596,0.5629645334304596,0.551255997007081,0.551255997007081,0.4005,0.0,8.624295278061181,0.6066320111226586,0.6066320111226586,0.5911870870817821,0.5911870870817821,0.46646499999999996,0.0,0.027589130175436304,0.13087009935723207,0.007358915306632886,20.046155055563037,0.5871434449152885,nan,nan,C:/code/MARL代码包/OpenMARL_codex/artifacts/auv6dof_tmc_2e6/hard_4auv/auv6dof/matd3/seed_0/tmc_hard_2e6_main-hard,Mon May 11 01:29:18 2026
